,artist,year,song,genre,duration_min,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
133,Dido,1999,Thank You,pop,3.64,73,0.725,0.583,1,-9.942,0,0.0427,0.3,0.000238,0.0665,0.762,79.984
134,Joe,2000,Stutter (feat. Mystikal) - Double Take Remix,"pop, R&B",3.55,57,0.767,0.759,6,-6.516,1,0.117,0.0513,0.0,0.31,0.677,89.989
135,P.O.D.,2001,Youth of the Nation,"rock, metal",4.27,69,0.563,0.86,8,-7.533,1,0.0621,0.00834,0.0106,0.39,0.517,97.867
136,Jennifer Lopez,2001,Play,"hip hop, pop, R&B",3.52,57,0.775,0.729,1,-4.229,0,0.162,0.0303,0.00247,0.0361,0.895,104.719
137,Missy Elliott,2001,Get Ur Freak On,"hip hop, pop, R&B",3.52,68,0.797,0.75,0,-9.369,1,0.247,0.533,0.108,0.095,0.74,177.87
138,Ricky Martin,2008,Nobody Wants to Be Lonely (with Christina Aguilera),"pop, latin",4.21,52,0.635,0.854,10,-5.02,0,0.0612,0.00579,0.0083,0.0623,0.59,100.851
139,Christina Milian,2001,AM To PM,"hip hop, pop, R&B",3.85,60,0.872,0.868,10,-3.036,0,0.12,0.153,2.26e-05,0.843,0.822,105.005
140,Roger Sanchez,2000,Another Chance,Dance/Electronic,7.55,50,0.61,0.82,3,-10.029,1,0.0312,0.000211,0.146,0.138,0.45,127.993
141,Gorillaz,2001,Clint Eastwood,hip hop,5.68,74,0.663,0.694,10,-8.627,0,0.171,0.0253,0.0,0.0698,0.525,167.953
142,2Pac,2001,Until The End Of Time,hip hop,4.44,57,0.757,0.706,8,-6.665,1,0.203,0.0267,0.0,0.197,0.375,96.976
143,Tamia,2000,Stranger in My House,"pop, R&B",4.76,48,0.676,0.601,0,-4.905,1,0.0297,0.103,0.0,0.147,0.206,119.94
144,Mary J. Blige,2001,No More Drama,"pop, R&B",5.44,61,0.653,0.837,6,-6.818,0,0.124,0.534,7.12e-05,0.0784,0.64,97.914
145,Jennifer Lopez,2001,Love Don't Cost a Thing,"hip hop, pop, R&B",3.69,67,0.786,0.842,4,-5.115,0,0.0707,0.00305,3.54e-06,0.473,0.685,97.577
146,Jamiroquai,2001,Little L,pop,4.92,65,0.878,0.724,10,-5.373,0,0.129,0.168,0.0116,0.133,0.904,121.906
147,Case,2001,Missing You,"hip hop, pop, R&B",4.74,55,0.612,0.579,1,-6.417,0,0.0553,0.285,0.0,0.0556,0.716,86.31
148,112,2001,Peaches & Cream,"hip hop, pop, R&B",3.22,63,0.677,0.52,4,-6.255,0,0.334,0.00277,0.0,0.0532,0.768,203.862
149,Five,2001,Let's Dance - Radio Edit,pop,3.64,47,0.631,0.821,4,-7.853,0,0.0867,0.00876,0.000247,0.293,0.547,118.007
150,Rui Da Silva,2001,Touch Me (Radio Edit) [feat. Cassandra],Dance/Electronic,3.55,54,0.464,0.922,0,-8.399,1,0.0638,0.124,0.227,0.0546,0.695,129.078
151,Alien Ant Farm,2001,Smooth Criminal,"rock, metal",3.49,75,0.653,0.964,9,-4.261,0,0.0582,0.00316,0.00512,0.144,0.87,126.928
152,Erick Sermon,2001,Music (feat. Marvin Gaye),"hip hop, pop",3.72,57,0.897,0.466,10,-9.053,0,0.203,0.187,1.35e-06,0.0757,0.884,100.01
153,D12,2001,Purple Pills,"hip hop, pop, rock",5.08,68,0.78,0.634,1,-5.941,1,0.16,0.0199,2.98e-05,0.29,0.754,125.25
154,Usher,2016,Pop Ya Collar - Radio Edit,"hip hop, pop, R&B",3.51,26,0.888,0.8,5,-3.944,0,0.0946,0.0901,2.12e-05,0.229,0.866,106.957
155,Madonna,2000,Don't Tell Me,pop,4.68,53,0.699,0.618,7,-7.338,1,0.0594,0.0502,0.000925,0.0914,0.679,99.965
156,Blue,2001,If You Come Back,pop,3.46,58,0.582,0.707,10,-4.487,1,0.0319,0.0822,0.0,0.0467,0.701,78.375
157,Atomic Kitten,2001,Eternal Flame - Single Version,pop,3.26,58,0.578,0.581,0,-6.867,1,0.0318,0.0658,0.0042,0.0674,0.408,83.293
158,Jagged Edge,2001,Where the Party At (feat. Nelly),"hip hop, pop, R&B",3.88,67,0.596,0.661,5,-6.239,0,0.226,0.31,0.0,0.0847,0.86,129.491
159,Afroman,2001,Because I Got High,hip hop,3.3,68,0.802,0.341,7,-8.56,1,0.488,0.169,0.0,0.0783,0.849,166.01
160,S Club 7,2001,Don't Stop Movin',pop,3.89,63,0.822,0.672,7,-6.133,1,0.0329,0.0285,0.0,0.213,0.91,117.033
162,Nelly Furtado,2000,Turn Off The Light,"hip hop, pop, latin",4.6,1,0.587,0.679,2,-6.26,1,0.0927,0.0839,0.000316,0.413,0.65,180.184
163,The Supermen Lovers,2001,Starlight - Radio Edit,Dance/Electronic,3.91,61,0.739,0.679,0,-5.079,1,0.0373,0.000424,0.0187,0.389,0.786,127.487
164,Mis-Teeq,2004,All I Want - Sunship Radio Edit,"pop, Dance/Electronic",3.46,46,0.795,0.919,9,-3.07,0,0.0835,0.37,0.00863,0.189,0.96,134.079
165,Jagged Edge,2000,Promise,"hip hop, pop, R&B",4.11,56,0.751,0.568,5,-5.431,0,0.0872,0.136,0.0,0.0288,0.646,128.002
166,S Club 7,2001,Have You Ever,pop,3.36,60,0.585,0.702,0,-5.734,1,0.0325,0.538,0.0,0.216,0.51,139.909
167,Enya,2000,Only Time,"World/Traditional, Folk/Acoustic",3.64,69,0.418,0.249,3,-13.744,1,0.0301,0.841,0.661,0.112,0.213,82.803
168,Faith Hill,2001,There You'll Be,"pop, country",3.7,60,0.321,0.511,8,-7.77,1,0.0306,0.513,0.0,0.127,0.17,128.98
169,Ronan Keating,2000,Lovin' Each Day,"pop, rock",3.55,58,0.541,0.899,1,-6.261,1,0.0633,0.0178,2.95e-06,0.286,0.829,106.676
170,Destinys Child,2001,Bootylicious,"pop, R&B",3.47,64,0.84,0.835,1,-4.386,0,0.275,0.00281,1.11e-06,0.152,0.637,103.376
171,Steps,2000,It's the Way You Make Me Feel,"pop, Dance/Electronic",3.29,53,0.573,0.665,8,-5.081,1,0.0239,0.108,2.09e-06,0.095,0.347,105.006
172,Sunshine Anderson,2001,Heard It All Before,"pop, R&B",4.93,56,0.697,0.925,3,-4.209,0,0.216,0.0614,0.0,0.095,0.678,96.951
